name,number
Abbott v. Abbott,cases/2009/08-645
Alabama v. North Carolina,cases/2009/132 ORIG
Alvarez v. Smith,cases/2009/08-351
American Needle Inc. v. National Football League,cases/2009/08-661
Astrue v. Ratliff,cases/2009/08-1322
Barber v. Thomas,cases/2009/09-5201
Beard v. Kindler,cases/2009/08-992
Berghuis v. Smith,cases/2009/08-1402
Berghuis v. Thompkins,cases/2009/08-1470
Bilski v. Kappos,cases/2009/08-964
Black v. United States,cases/2009/08-876
Bloate v. United States,cases/2009/08-728
Bobby v. Van Hook,cases/2009/09-144
Briscoe v. Virginia,cases/2009/07-11191
Carachuri-Rosendo v. Holder,cases/2009/09-60
Carr v. United States,cases/2009/08-1301
Christian Legal Society Chapter v. Martinez,cases/2009/08-1371
City of Ontario v. Quon,cases/2009/08-1332
Conkright v. Frommert,cases/2009/08-810
Dillon v. United States,cases/2009/09-6338
Doe #1 v. Reed,cases/2009/09-559
Dolan v. United States,cases/2009/09-367
Florida v. Powell,cases/2009/08-1175
Free Enterprise Fund v. Public Company Oversight Board,cases/2009/08-861
Graham County Soil and Water Conservation District v. United States,cases/2009/08-304
Graham v. Florida,cases/2009/08-7412
Granite Rock Co. v. International Brotherhood of Teamsters,cases/2009/08-1214
Hamilton v. Lanning,cases/2009/08-998
Hardt v. Reliance Standard Life Ins. Co.,cases/2009/09-448
Health Care Service Corp. v. Pollitt,cases/2009/09-38
Hemi Group LLC v. City of New York,cases/2009/08-969
Hertz Corp. v. Friend,cases/2009/08-1107
Holder v. Humanitarian Law Project,cases/2009/08-1498
Holland v. Florida,cases/2009/09-5327
Hui v. Castaneda,cases/2009/08-1529
Jefferson v. Upton,cases/2009/09-8852
"Jerman v. Carlisle, McNellie, Rini, Kramer, & Ulrich LPA",cases/2009/08-1200
Johnson v. United States,cases/2009/08-6925
Jones v. Harris Associates L.P.,cases/2009/08-586
Kawasaki Kisen Kaisha Ltd. v. Regal-Beloit Corp.,cases/2009/08-1553
Kiyemba v. Obama,cases/2009/08-1234
"Krupski v. Costa Crociere, S.p.A.",cases/2009/09-337
Kucana v. Holder,cases/2009/08-911
"Levin v. Commerce Energy, Inc.",cases/2009/09-223
Lewis v. Chicago,cases/2009/08-974
Mac's Shell Service v. Shell Oil Products Co.,cases/2009/08-240
Magwood v. Patterson,cases/2009/09-158
Maryland v. Shatzer,cases/2009/08-680
McDaniel v. Brown,cases/2009/08-559
McDonald v. Chicago,cases/2009/08-1521
Merck & Co. v. Reynolds,cases/2009/08-905
Michigan v. Fisher,cases/2009/09-91
"Milavetz, Gallop & Milavetz, P.A. v. United States",cases/2009/08-1119
"Mohawk Industries, Inc. v. Carpenter",cases/2009/08-678
Monsanto Co. v. Geertson Seed Farms,cases/2009/09-475
Morrison v. National Australia Bank,cases/2009/08-1191
New Process Steel v. NLRB,cases/2009/08-1457
"NRG Power Marketing, LLC v. Maine Pub. Util. Comm'n",cases/2009/08-674
Padilla v. Kentucky,cases/2009/08-651
Perdue v. Kenny A.,cases/2009/08-970
Porter v. McCollum,cases/2009/08-10537
Pottawattamie County v. McGhee,cases/2009/08-1065
Reed Elsevier v. Muchnick,cases/2009/08-103
Renico v. Lett,cases/2009/09-338
"Rent-A-Center West, Inc. v. Jackson",cases/2009/09-497
Robertson v. United States ex rel. Watson,cases/2009/08-6261
Salazar v. Buono,cases/2009/08-472
Samantar v. Yousuf,cases/2009/08-1555
Schwab v. Reilly,cases/2009/08-538
"Shady Grove Orthopedic Associates, P.A. v. Allstate Insurance Co.",cases/2009/08-1008
Skilling v. United States,cases/2009/08-1394
Smith v. Spisak,cases/2009/08-724
South Carolina v. North Carolina,cases/2009/138 ORIG
Stolt-Nielsen v. Animalfeeds International Corp.,cases/2009/08-1198
Stop the Beach Renourishment Inc. v. Florida Department of Environmental Protection,cases/2009/08-1151
Sullivan v. Florida,cases/2009/08-7621
Thaler v. Haynes,cases/2009/09-273
Union Pacific R. Co. v. Locomotive Engineers,cases/2009/08-604
United States v. Comstock,cases/2009/08-1224
United States v. Marcus,cases/2009/08-1341
United States v. O'Brien,cases/2009/08-1569
United States v. Stevens,cases/2009/08-769
United Student Aid Funds Inc. v. Espinosa,cases/2009/08-1134
Weyhrauch v. United States,cases/2009/08-1196
Wilkins v. Gaddy,cases/2009/08-10914
Wong v. Belmontes,cases/2009/08-1263
Wood v. Allen,cases/2009/08-9156
Abbott v. United States,cases/2010/09-479
"American Electric Power Co., Inc. v. Connecticut",cases/2010/10-174
Arizona Christian School Tuition Organization v. Winn,cases/2010/09-987
Arizona Free Enterprise Club's Freedom Club PAC v. Bennett,cases/2010/10-238
Ashcroft v. Al-Kidd,cases/2010/10-98
Astra USA v. Santa Clara County,cases/2010/09-1273
AT&T Mobility LLC v. Concepcion,cases/2010/09-893
"Board of Trustees of the Leland Stanford Junior University v. Roche Molecular Systems, Inc.",cases/2010/09-1159
Bobby v. Mitts,cases/2010/10-1000
Bond v. United States,cases/2010/09-1227
Borough of Duryea v. Guarnieri,cases/2010/09-1476
Brown v. Entertainment Merchants Association,cases/2010/08-1448
Brown v. Plata,cases/2010/09-1233
Bruesewitz v. Wyeth Inc.,cases/2010/09-152
Bullcoming v. New Mexico,cases/2010/09-10876
Camreta v. Greene,cases/2010/09-1454
Chamber of Commerce of the United States v. Whiting,cases/2010/09-115
Chase Bank USA v. McCoy,cases/2010/09-329
CIGNA v. Amara,cases/2010/09-804
Connick v. Thompson,cases/2010/09-571
"Costco Wholesale Corporation v. Omega, S.A.",cases/2010/08-1423
CSX Transportation v. McBride,cases/2010/10-235
"CSX Transportation, Inc. v. Alabama Department of Revenue",cases/2010/09-520
Cullen v. Pinholster,cases/2010/09-1088
Davis v. United States,cases/2010/09-11328
DePierre v. United States,cases/2010/09-1533
"Erica P. John Fund, Inc. v. Halliburton Co.",cases/2010/09-1403
FCC v. AT&T Inc.,cases/2010/09-1279
Flores-Villar v. United States,cases/2010/09-5801
Fowler v. United States,cases/2010/10-5443
Fox v. Vice,cases/2010/10-114
Freeman v. United States,cases/2010/09-10245
General Dynamics Corp. v. United States,cases/2010/09-1298
"Global-Tech Appliances, Inc. v. SEB S.A.",cases/2010/10-6
"Goodyear Dunlop Tires Operations, S.A. v. Brown",cases/2010/10-76
Harrington v. Richter,cases/2010/09-587
Henderson v. Shinseki,cases/2010/09-1036
"J. McIntyre Machinery, Ltd. v. Nicastro",cases/2010/09-1343
J.D.B. v. North Carolina,cases/2010/09-11121
"Janus Capital Group, Inc. v. First Derivative Traders",cases/2010/09-525
Kasten v. Saint-Gobain Performance Plastics Corp.,cases/2010/09-834
Kentucky v. King,cases/2010/09-1272
"Los Angeles County, CA v. Humphries",cases/2010/09-350
Madison County v. Oneida Indian Nation,cases/2010/10-72
"Matrixx Initiatives, Inc. v. Siracusano",cases/2010/09-1156
Mayo Foundation v. United States,cases/2010/09-837
McNeill v. United States,cases/2010/10-5258
Michigan v. Bryant,cases/2010/09-150
Microsoft Corp. v. i4i Limited Partnership,cases/2010/10-290
Milner v. Department of the Navy,cases/2010/09-1163
Montana v. Wyoming and North Dakota,cases/2010/137 ORIG
National Aeronautics and Space Administration v. Nelson,cases/2010/09-530
Nevada Commission on Ethics v. Carrigan,cases/2010/10-568
Ortiz v. Jordan,cases/2010/09-737
Pepper v. United States,cases/2010/09-6822
"PLIVA, Inc. v. Mensing",cases/2010/09-993
Premo v. Moore,cases/2010/09-658
"Ransom v. FIA Card Services, N.A.",cases/2010/09-907
Schindler Elevator Corp. v. United States ex rel. Kirk,cases/2010/10-188
Skinner v. Switzer,cases/2010/09-9000
Smith v. Bayer Corp.,cases/2010/09-1205
Snyder v. Phelps,cases/2010/09-751
Sorrell v. IMS Health Inc.,cases/2010/10-779
Sossamon v. Texas,cases/2010/08-1438
Staub v. Proctor Hospital,cases/2010/09-400
Stern v. Marshall,cases/2010/10-179
"Stok & Associates, P.A. v. Citibank, N.A.",cases/2010/10-514
Sykes v. United States,cases/2010/09-11311
"Talk America, Inc. v. Michigan Bell Telephone Co.",cases/2010/10-313
Tapia v. United States,cases/2010/10-5400
"Thompson v. North American Stainless, LP",cases/2010/09-291
Tolentino v. New York,cases/2010/09-11556
Turner v. Rogers,cases/2010/10-10
United States  v. Tinklenberg,cases/2010/09-1498
United States v. Jicarilla Apache Nation,cases/2010/10-382
United States v. Juvenile Male,cases/2010/09-940
United States v. Tohono O'odham Nation,cases/2010/09-846
Virginia Office for Protection and Advocacy v. Stewart,cases/2010/09-529
"Wal-Mart Stores, Inc. v. Dukes",cases/2010/10-277
Walker v. Martin,cases/2010/09-996
Wall v. Kholi,cases/2010/09-868
"Williamson v. Mazda Motor of America, Inc.",cases/2010/08-1314
"American Tradition Partnership, Inc. v. Bullock",cases/2011/11-1179
Arizona v. United States,cases/2011/11-182
Armour v. City of Indianapolis,cases/2011/11-161
Astrue v. Capato,cases/2011/11-159
Blueford v. Arkansas,cases/2011/10-1320
Bobby v. Dixon,cases/2011/10-1540
"Caraco Pharmaceutical Laboratories, Ltd. v. Novo Nordisk A/S",cases/2011/10-844
Cavazos v. Smith,cases/2011/10-1115
Christopher v. SmithKline,cases/2011/11-204
Coleman v. Johnson,cases/2011/11-1053
Coleman v. Maryland Court of Appeals,cases/2011/10-1016
CompuCredit Corp. v. Greenwood,cases/2011/10-948
Credit Suisse Securities LLC v. Simmonds,cases/2011/10-1261
Dorsey v. United States,cases/2011/11-5683
Douglas v. Independent Living Center of Southern California,cases/2011/09-958
Elgin v. Department of the Treasury,cases/2011/11-45
FAA v. Cooper,cases/2011/10-1024
FCC v. Fox Television Stations,cases/2011/10-1293
Filarsky v. Delia,cases/2011/10-1018
First American Financial Corp. v. Edwards,cases/2011/10-708
Florence v. Board of Chosen Freeholders of the County of Burlington,cases/2011/10-945
"Freeman v. Quicken Loans, Inc.",cases/2011/10-1042
Golan v. Holder,cases/2011/10-545
Gonzalez v. Thaler,cases/2011/10-895
Greene v. Fisher,cases/2011/10-637
Hall v. United States,cases/2011/10-875
Hardy v. Cross,cases/2011/11-74
Holder v. Gutierrez,cases/2011/10-1542
Hosanna-Tabor Evangelical Lutheran Church and School v. EEOC,cases/2011/10-553
Howes v. Fields,cases/2011/10-680
Judulang v. Holder,cases/2011/10-694
Kappos v. Hyatt,cases/2011/10-1219
Kawashima v. Holder,cases/2011/10-577
Kiobel v. Royal Dutch Petroleum,cases/2011/10-1491
Knox v. Service Employees International Union,cases/2011/10-1121
KPMG LLP v. Cocchi,cases/2011/10-1521
Kurns v. Railroad Friction Products Corp.,cases/2011/10-879
Lafler v. Cooper,cases/2011/10-209
Magner v. Gallagher,cases/2011/10-1032
Maples v. Thomas,cases/2011/10-63
Marmet Health Care Center v. Brown,cases/2011/11-391
Martel v. Clair,cases/2011/10-1265
Martinez v. Ryan,cases/2011/10-1001
Match-E-Be-Nash-She-Wish Band v. Patchak,cases/2011/11-246
"Mayo Collaborative Services v. Prometheus Laboratories, Inc.",cases/2011/10-1150
Messerschmidt v. Millender,cases/2011/10-704
Miller v. Alabama,cases/2011/10-9646
"Mims v. Arrow Financial Services, LLC",cases/2011/10-1195
Minneci v. Pollard,cases/2011/10-1104
Missouri v. Frye,cases/2011/10-444
Mohamad v. Palestinian Authority,cases/2011/11-88
National Federation of Independent Businesses v. Sebelius,cases/2011/11-393
National Meat Association v. Harris,cases/2011/10-224
Pacific Operators Offshore v. Valladolid,cases/2011/10-507
Parker v. Matthews,cases/2011/11-845
Perry v. New Hampshire,cases/2011/10-8974
Perry v. Perez,cases/2011/11-713
PPL Montana v. Montana,cases/2011/10-218
RadLAX Gateway Hotel v. Amalgamated Bank,cases/2011/11-166
Rehberg v. Paulk,cases/2011/10-788
Reichle v. Howards,cases/2011/11-262
Reynolds v. United States,cases/2011/10-6549
Roberts v. Sea-Land Services,cases/2011/10-1399
Ryburn v. Huff,cases/2011/11-208
Sackett v. EPA,cases/2011/10-1062
Salazar v. Ramah Navajo Chapter,cases/2011/11-551
Setser v. United States,cases/2011/10-7387
Smith v. Cain,cases/2011/10-8145
Southern Union Company v. United States,cases/2011/11-94
